Age,EstimatedSalary,Purchased
49,55503,0
51,85778,0
39,135832,1
59,91422,1
69,104783,0
31,115926,0
60,33635,1
24,78545,0
69,49825,0
76,140860,1
42,143171,1
30,38657,1
18,51831,0
50,44725,1
43,94117,1
42,128021,1
68,144968,1
76,133668,1
45,130992,0
51,30595,1
32,35265,1
36,121529,1
33,94544,0
41,122547,1
63,88790,1
34,111815,0
58,137130,0
46,37127,0
77,93606,1
66,68530,1
51,99082,0
69,103483,1
80,133361,1
47,100197,0
75,107016,1
42,116217,0
30,83110,1
63,130174,1
66,104347,0
36,57123,1
37,53632,0
56,120061,1
19,64409,0
61,145634,0
24,126311,0
33,131104,1
30,127930,1
47,39845,0
41,100922,0
24,90663,0
80,131629,0
54,57170,0
77,83190,0
53,76229,1
59,47516,0
33,116057,0
25,116807,0
71,148544,0
38,138188,0
74,95626,0
53,147508,1
56,60833,0
25,69245,1
53,33497,0
25,42868,1
42,73837,1
42,106812,1
48,46114,0
67,49570,1
72,51536,0
53,86065,1
24,71100,0
73,109045,0
51,50460,0
35,106665,0
74,107819,0
23,75980,0
41,74209,0
72,116080,1
36,134849,1
39,96246,1
52,56392,1
37,110505,1
39,61984,1
54,133510,1
67,121638,1
61,57503,0
65,138216,1
29,114168,1
44,143034,0
63,128389,0
29,127227,0
39,55711,1
24,34598,1
79,45795,0
50,75896,0
26,38112,0
21,117863,0
19,83438,1
23,129347,1
65,97710,0
74,109470,1
78,32156,1
36,35535,0
24,56834,1
37,119700,0
46,58560,0
61,122263,0
29,116237,0
32,88703,1
24,129984,0
76,104978,0
38,53674,1
53,69869,0
59,81334,1
80,70585,0
28,30400,1
20,47880,1
32,86353,0
37,107263,1
20,126863,0
63,89660,0
31,48252,0
57,79185,1
37,79846,1
30,56166,1
30,34001,1
50,54692,0
32,135842,1
25,31700,0
22,51753,1
52,118186,1
26,146171,0
57,139648,1
65,70675,0
47,47293,1
69,144767,0
25,109478,0
27,147878,1
75,113863,0
29,85402,0
72,53879,0
64,137984,0
34,126966,1
64,91932,0
68,136904,0
66,106086,0
31,134348,0
55,105276,0
65,42349,0
42,66169,1
50,114694,0
33,111784,1
38,116636,0
48,33613,0
38,87819,0
26,81599,1
53,146708,0
73,140387,1
51,135280,0
74,147334,0
60,71576,0
44,72056,1
29,50575,1
54,130816,1
21,146986,0
67,76403,0
27,86941,1
58,129066,0
46,41522,1
52,137975,1
78,61701,1
23,142777,0
21,72986,0
71,111954,1
49,70924,0
70,96063,1
24,133203,1
27,135384,1
48,75984,1
60,74188,0
41,47030,0
42,107496,1
25,148516,1
64,110717,1
62,62740,0
57,42098,0
65,31978,1
25,93520,0
61,66024,1
72,53749,0
62,67150,0
69,43699,1
62,117911,1
21,89095,1
31,112971,1
34,74005,0
56,130802,1
56,120042,0
70,71863,1
19,92108,0
32,118136,1
76,69306,1
72,84737,1
21,111004,0
80,134229,1
39,79832,1
43,66484,1
19,123755,0
47,94497,0
31,63039,1
20,33859,1
79,72203,0
35,88950,1
28,80430,1
23,111173,1
59,116271,1
54,149748,0
61,46834,0
76,37937,0
20,120196,1
39,86817,1
66,147899,1
70,135144,1
57,52301,0
76,106043,0
76,32826,1
70,75190,1
23,108281,0
44,30792,0
29,78478,0
69,43911,0
29,39725,0
70,64965,1
43,42841,0
70,42310,0
74,58550,0
45,86214,1
34,82242,1
48,134575,0
40,87126,0
75,50565,0
18,40578,0
41,61917,1
54,72182,1
42,63527,0
18,63248,0
49,44006,0
70,110529,0
37,56194,0
48,63517,0
44,99174,1
49,68867,1
70,146307,1
58,126984,0
62,72258,1
20,100632,1
56,120858,0
59,48502,0
25,103415,1
37,39195,0
54,83776,0
37,120933,1
40,141967,0
66,87036,1
76,71491,0
78,45413,0
20,122154,1
45,93772,1
63,78606,0
63,37949,1
48,80524,1
27,53996,1
58,72887,0
66,64017,0
42,89953,1
80,149346,0
79,42398,1
57,47603,1
30,88862,0
32,116789,1
33,104762,0
48,71592,0
56,32165,0
25,44560,0
30,103585,1
18,91023,0
59,67512,0
42,89453,0
63,137207,0
67,118428,1
76,112750,1
27,31462,1
52,118604,0
30,62191,0
68,37176,0
56,66747,1
44,59968,1
59,122059,1
18,94087,1
72,129515,0
29,37125,0
72,47973,1
65,68314,1
74,121384,0
53,52081,1
43,92491,0
47,127665,0
77,122691,0
69,118866,1
24,43735,1
31,43494,0
29,36443,1
31,149239,1
41,112766,1
18,137022,1
79,80623,1
34,129338,1
61,123986,1
79,86512,1
54,48682,0
54,135121,1
29,131921,0
68,142074,1
62,69062,0
62,107944,0
33,89370,0
36,64857,1
74,137006,0
80,64468,0
27,85502,0
24,141829,0
39,62493,0
24,135824,0
57,54109,0
69,135966,0
55,88563,1
65,58533,0
37,73683,1
41,46846,0
19,86680,1
49,61900,1
61,72481,0
73,86499,0
66,76521,1
56,49890,0
60,67988,1
69,142344,1
40,132646,1
65,137186,1
35,87052,0
37,140832,1
31,83392,0
23,68367,1
33,41963,1
19,50706,0
30,121967,0
53,88035,0
65,140470,0
20,57446,1
64,105709,0
40,130115,1
28,123286,0
63,44652,1
67,121504,0
38,126744,1
25,38354,0
36,101681,0
40,92247,0
53,109015,1
63,73070,1
24,109019,1
62,97879,1
50,98203,0
53,95115,0
21,136055,0
57,130741,0
47,108259,0
46,104586,1
69,83701,0
41,65004,0
73,42620,0
43,135891,1
26,144046,1
71,35916,0
45,81299,1
51,95894,0
73,76538,0
25,144399,0
58,147563,1
46,114976,0
77,74696,1
34,63608,0
28,130732,1
53,141081,0
76,100446,0
76,140787,1
57,30781,0
29,102324,0
33,137625,1
65,101870,0
39,63056,0
78,129464,1
36,34081,1
30,147875,1
62,135407,0
62,37214,0
45,54830,0
45,107677,0
46,46192,1
76,42852,1
55,113304,0
34,119187,0
52,111633,0
47,88292,0
45,80099,1
48,46289,0
48,120115,1
62,42179,0
69,67013,0
55,135410,0
46,137386,0
18,32112,1
77,70874,1
20,72112,0
72,104176,1
36,65349,0
41,138825,1
19,59002,1
41,108616,1
56,49484,1
66,114176,0
71,41303,1
32,101649,0
54,149967,1
37,84070,1
50,33683,0
58,83245,0
37,147385,0
60,120199,0
40,63386,0
49,55406,0
47,128792,1
54,96378,1
35,111154,1
42,56470,0
49,71868,1
62,113807,0
23,147628,0
77,142799,0
57,93693,1
33,107662,0
56,121584,0
79,41042,0
68,99405,0
18,116752,0
60,35845,1
35,51619,1
68,35156,1
50,70497,0
38,106352,1
72,122505,0
67,30677,0
58,119400,1
51,96525,0
41,148461,1
70,50640,1
24,125713,1
22,75648,0
52,56207,1
48,44566,1
54,95207,0
61,61842,0
58,31260,0
67,122410,1
65,138929,0
55,73116,1
67,66965,1
58,108295,0
63,56300,1
31,107457,0
73,125774,0
67,39126,1
75,116601,0
49,110678,0
64,100869,1
58,136094,0
21,121772,0
55,46779,1
41,86863,1
65,37519,1
75,148881,1
61,30052,1
23,116507,1
22,51454,1
36,44509,0
21,46551,0
72,58069,1
72,37133,0
20,113986,0
70,104776,1
28,34311,1
51,38294,0
34,97762,1
80,78332,0
21,37585,1
53,67472,0
65,85939,0
73,52606,1
33,141599,1
38,127270,0
76,132816,0
62,52382,0
61,61417,0
67,125864,1
45,134701,1
65,103279,1
47,129838,0
74,57514,0
38,54157,0
57,100028,1
72,124403,1
67,93544,0
30,98672,1
27,85859,1
51,35650,0
75,72845,0
37,53502,0
38,148444,0
54,55513,0
44,41148,0
47,119042,1
62,44606,0
69,85851,1
31,103703,1
44,134572,0
63,110747,1
49,107566,1
45,82772,1
69,110526,1
47,41482,1
56,90376,1
45,137481,0
22,134441,0
34,30566,1
41,76871,0
69,54250,1
77,90909,1
25,66316,0
65,102162,1
57,58041,1
37,102805,0
80,51185,0
26,147050,1
51,64931,0
67,101448,1
22,47806,1
40,125999,0
69,146336,0
33,125501,1
21,106615,1
37,47207,0
58,115617,1
72,85199,1
63,103409,0
48,147549,0
18,33129,0
59,137564,1
77,134305,0
59,133774,1
24,147335,0
51,62151,0
23,134035,1
69,51069,0
25,106354,1
32,106523,1
79,91060,1
53,36179,1
48,63765,1
40,108394,1
64,149991,0
25,50740,0
36,132254,0
35,61598,1
25,50958,1
77,60524,0
41,41381,0
56,67298,0
38,45555,1
22,37081,0
60,46712,1
22,50732,0
20,88019,1
45,87150,0
51,91879,0
68,48683,1
73,59396,1
71,124561,1
23,36355,1
39,35805,0
33,112744,0
42,122278,1
39,94318,0
30,73422,1
69,85054,0
21,36759,1
34,53333,0
35,52363,0
66,77115,0
59,133106,0
39,127878,0
52,145156,1
23,99618,1
64,114744,1
77,132386,0
47,51029,1
46,113280,0
42,73984,1
48,36461,1
77,68813,1
74,128041,1
31,65457,0
22,35411,0
24,40511,0
67,74158,0
61,106015,1
26,91314,1
33,121853,1
58,65470,1
46,146799,0
43,132180,0
54,38270,0
80,121294,0
25,145019,0
79,90721,1
69,147815,0
65,112613,0
77,64176,0
40,64340,1
38,71620,0
62,46321,0
37,61138,0
56,69913,0
23,127192,0
26,134412,0
78,66002,0
42,122267,0
24,81458,0
68,97908,0
69,84164,1
60,130569,0
47,99906,1
43,43888,0
24,67648,1
18,90225,1
55,147004,0
31,90987,1
18,132904,1
28,42496,0
29,50185,1
73,74284,0
80,49827,1
41,138726,0
27,126790,0
46,116328,0
70,133573,0
55,65576,0
71,81296,0
56,142133,0
41,35131,0
51,107858,0
63,95451,1
29,120557,0
28,112663,0
61,95002,0
69,80092,0
62,126282,0
69,52945,0
47,71260,0
42,107055,0
38,58729,1
24,38892,1
78,118548,1
18,135815,1
56,47493,1
40,67251,1
77,71598,1
41,103514,1
39,59506,1
66,37520,1
69,119104,1
18,71016,1
71,54163,0
23,44950,0
30,102895,0
30,94306,1
66,122115,0
66,70287,0
56,38918,0
54,85237,0
64,73572,0
20,124605,0
78,140308,0
72,109683,0
39,77463,0
34,136931,0
61,40924,0
48,35969,0
48,30188,0
55,69660,0
60,38271,0
40,53381,0
29,137987,1
42,147264,0
75,73903,0
63,60777,0
39,126623,0
30,101481,0
80,139744,0
23,44170,0
61,77904,0
31,99549,0
75,58712,0
74,121478,0
33,108015,0
70,81048,0
35,35768,0
29,78479,1
59,110032,0
36,87692,0
18,70065,0
79,141879,0
40,123046,0
45,51413,0
29,121044,0
77,90546,0
47,128821,0
47,142033,0
62,117504,0
21,88192,1
67,50298,0
53,41240,0
61,139978,0
49,140405,0
67,63014,0
19,136170,0
30,50851,0
56,52655,0
72,145695,0
64,98253,1
80,86678,0
19,63950,0
23,147845,0
28,81699,0
45,117198,0
29,33832,0
68,113358,0
73,148721,0
71,147242,0
62,48437,0
18,69431,0
78,87931,1
63,115679,0
28,107677,0
21,41183,0
63,49136,0
20,120795,0
65,134250,1
57,74605,0
44,56854,0
74,112359,0
38,50203,0
78,80633,0
24,125699,0
34,49975,0
57,122715,0
49,76089,0
27,131684,0
76,91892,0
22,107161,0
74,80129,0
24,121549,0
72,102376,0
71,93097,0
18,94461,0
38,40951,0
67,139546,0
68,87052,0
55,71480,0
75,134740,0
62,38854,0
32,89513,0
73,35640,0
26,75993,0
54,96783,0
39,91596,0
50,105817,0
63,56849,0
71,111201,0
25,44478,0
25,100151,0
61,116103,1
46,128962,0
79,31197,0
45,67165,0
58,95046,0
34,31460,0
19,64966,0
63,33047,0
47,49284,0
74,73990,1
22,127997,0
30,96091,0
73,49105,0
37,116303,0
78,130670,0
80,62147,0
55,136351,0
68,39952,0
31,148885,0
47,87639,0
24,59822,0
65,95113,0
65,114002,1
67,54625,1
19,42944,0
64,85064,0
42,118897,0
46,66605,0
49,99178,0
20,140993,0
25,46567,0
68,115978,1
28,125369,0
19,129940,0
51,134477,0
72,68230,0
26,55619,0
65,130935,0
51,57266,0
35,35900,0
51,139349,0
75,55555,0
30,41782,0
43,70986,0
50,129186,0
20,109686,1
22,132672,0
47,66474,0
47,61930,0
24,146279,0
23,81369,0
44,117852,0
22,119941,0
49,103338,0
55,137195,0
45,94801,0
30,130629,0
55,63403,0
58,120919,0
52,133667,0
31,98999,0
52,36771,0
18,108900,0
28,44009,0
40,97241,0
68,138294,1
49,76344,0
26,148601,1
64,94187,0
61,37503,1
46,88033,0
31,122224,1
25,97259,0
80,134479,1
18,34446,1
49,128967,0
60,139289,0
46,46010,0
32,34913,1
54,132255,0
61,89823,0
56,102493,0
41,104022,1
55,97643,0
27,142560,1
31,102953,1
19,39574,1
32,36003,0
51,95334,0
51,135152,1
78,123258,1
54,60307,0
54,49856,1
23,59952,1
45,59752,0
51,119329,1
21,113539,1
45,134096,0
64,72148,1
79,76484,0
72,102168,0
71,131779,0
35,35194,1
78,108273,1
58,99514,0
75,124797,1
48,84767,1
75,60603,0
43,61858,1
41,57846,0
61,91310,1
69,64888,0
73,129994,1
69,59351,0
24,146790,0
67,142637,1
55,93686,1
25,87828,0
36,107495,1
25,120616,0
41,130021,0
71,51844,1
72,70835,1
56,115604,0
62,33682,1
49,117448,1
32,66629,0
31,138049,1
77,104752,1
58,125400,0
66,75144,0
22,113368,1
57,145044,0
45,93620,0
26,68615,1
43,119300,1
79,109692,1
51,102471,1
34,102165,1
57,127693,0
19,138788,1
54,105353,1
52,38108,1
61,102696,1
39,48266,0
35,61756,1
64,57103,1
64,122240,0
54,142959,1
61,62616,0
74,60005,1
69,39540,0
71,139424,1
76,138080,1
56,69739,1
40,116411,1
65,36613,0
25,47050,0
38,107109,0
24,119053,1
66,89623,1
30,113053,0
76,78386,1
18,45443,1
68,126754,1
30,120534,1
19,88262,1
47,72390,0
32,85666,0
80,124409,0
75,30761,1
27,107865,1
40,68854,0
33,49098,0
57,30085,1
55,47190,0
51,101990,1
44,136915,0
32,89850,1
65,130970,1
37,76312,0
37,84319,1
41,33994,0
37,41508,1
38,144468,1
71,78372,0
62,34046,1
41,77490,1
43,75368,0
57,140009,0
38,134530,0
35,82583,1
79,133728,1
26,120089,0
45,82147,1
32,79973,0
33,62377,0
75,90323,1
80,57861,0
54,102484,1
40,50251,0
64,113374,0
18,133130,1
23,128485,1
37,142088,0
67,75449,0
23,96906,1
20,73731,1
30,44967,0
46,97061,1
32,85274,1
36,47375,0
71,88361,0
29,78491,1
18,113874,0
69,70849,1
52,82812,0
44,129741,1
50,52236,1
27,41840,1
76,127732,0
57,124328,1
64,77383,0
25,38108,1
77,137187,1
21,149606,1
34,78818,0
38,51007,1
43,146194,1
54,83251,1
75,121537,1
53,52092,0
78,39997,1
23,46545,1
71,50465,1
34,122606,0
57,33303,1
58,122298,0
29,118718,1
36,103660,0
68,90286,0
69,32357,1
18,147631,1
66,75622,0
58,60076,1
63,59629,1
69,106607,1
75,114759,1
18,138043,1
58,74301,1
25,93819,0
55,55734,1
80,63309,1
42,121110,1
50,38738,1
31,97639,1
67,120426,1
62,45895,0
55,114777,1
32,99268,1
49,139079,1
21,88325,0
19,33110,1
34,103252,1
47,117863,0
40,75065,1
25,51189,0
26,74109,0
45,56503,1
59,74743,0
58,70958,1
43,128296,0
65,75139,0
68,43694,0
36,66196,1
53,77742,0
31,149728,0
42,129380,1
68,86889,0
46,116147,0
21,124413,1
41,108502,0
46,117748,0
54,113025,1
67,109620,1
20,131946,1
32,53015,0
58,95170,0
43,147007,1
39,140401,1
57,43213,0
38,44924,1
43,99733,1
44,94757,0
54,140641,0
60,78394,0
75,87312,0
25,77808,0
32,120952,1
39,51360,1
26,124093,0
56,81658,0
34,70033,0
33,85977,1
31,73894,1
25,67134,1
78,90046,0
33,76348,0
24,71828,0
70,50309,1
36,58149,0
79,35800,0
65,47561,1
63,59160,0
24,89296,1
46,87279,0
48,95529,0
65,69276,0
74,88863,1
49,114396,0
59,56863,0
59,93809,0
19,149910,0
19,43392,0
63,56325,1
46,112282,1
25,86155,1
67,48376,0
76,113283,1
35,144895,0
52,129227,0
46,135208,0
55,133361,1
58,101545,1
61,112078,0
31,30197,1
24,58203,0
76,80455,1
80,112135,1
61,115166,1
76,120837,0
78,126419,0
59,107486,0
48,52327,0
48,40797,0
21,110210,1
64,75957,1
51,93784,0
51,35713,1
19,110931,1
59,122881,1
51,78758,1
72,107862,0
59,63859,1
44,50833,1
78,133345,1
37,146451,0
74,80010,1
50,96892,0
41,135637,0
77,136213,0
46,39536,0
78,52159,1
69,130047,1
61,112737,0
66,117162,1
35,85858,1
19,33384,1
28,131406,0
61,124684,1
80,134911,1
40,132120,0
49,135087,0
59,31009,0
71,112641,1
28,106128,0
61,142246,1
36,61032,0
71,121569,0
58,107271,1
20,114774,1
25,81653,1
72,51821,0
50,85811,0
49,94035,1
54,30175,0
80,118748,1
58,147450,0
76,120418,1
34,54889,1
35,88888,1
79,59776,1
21,59253,0
44,130219,1
49,70995,0
65,30422,1
55,144021,1
35,51381,1
69,75800,1
63,31807,1
41,58405,1
21,101863,0
80,121758,0
34,145920,0
72,53619,0
66,64393,1
45,98511,0
73,78460,0
74,36862,0
79,83328,1
40,115736,0
36,148408,0
72,147063,1
62,37573,0
22,44560,1
36,112427,0
24,148816,0
66,69408,0
75,127877,1
70,114478,1
51,86582,1
49,51205,1
29,35412,1
76,89315,0
37,84665,1
77,117780,0
37,50885,1
38,57288,1
24,34781,1
19,92634,1
18,102177,0
63,99123,0
41,113072,1
58,36915,1
66,99971,0
53,134667,1
32,46953,0
24,40280,1
68,89999,1
42,114408,0
73,32282,1
65,108601,1
39,43691,0
53,67994,1
29,133937,1
69,60694,1
24,135266,1
29,145351,0
77,39537,0
38,129936,0
26,74211,0
28,80113,1
32,59775,0
49,112132,0
39,62616,1
64,88292,1
78,135575,0
30,39151,1
42,62696,0
68,47620,0
70,41981,1
50,96935,0
48,147313,0
56,39861,0
73,101324,1
38,60452,0
28,121249,0
79,87120,1
27,130380,0
26,104109,0
35,40307,1
20,91421,0
31,142989,0
29,140563,0
26,125435,1
21,122942,0
25,104503,1
48,134717,1
68,49517,1
63,64217,0
29,52807,0
63,81590,1
53,110790,1
40,44423,0
57,95070,1
74,123567,0
30,39987,0
56,94112,0
25,122512,0
22,120653,1
22,92789,1
40,137719,1
70,54452,0
44,120804,0
45,96627,1
40,116585,1
20,110980,1
57,93816,1
42,94638,0
45,65181,1
69,85781,1
21,46294,1
53,101693,0
65,123105,1
68,112947,0
22,56424,1
59,99139,0
36,62666,1
44,98848,0
53,106389,0
75,105337,0
56,110195,0
65,34454,1
18,77425,0
53,56850,1
32,89661,0
65,73806,0
70,141932,0
25,117804,1
55,82185,1
61,66107,1
65,60694,0
36,38286,1
70,62587,0
45,86762,1
73,74104,1
73,77218,0
21,140190,1
57,35168,1
29,70963,0
66,137645,1
56,136172,1
24,61962,1
28,114834,0
38,107321,0
71,113677,1
29,31405,1
22,115956,0
47,51026,0
34,123344,0
30,148364,0
20,94811,0
55,64845,1
50,90074,1
42,32368,1
24,46903,1
43,102198,0
29,117176,1
68,134638,0
34,122489,0
34,35885,1
18,51368,1
23,76117,0
65,75935,1
25,32143,1
35,57577,0
75,94042,1
79,130508,1
30,146975,0
77,148934,0
34,144178,0
49,119659,0
33,138770,0
57,90307,1
27,78549,0
34,105314,0
34,69750,0
29,99420,0
78,112417,1
75,30379,0
69,135806,1
18,48491,1
71,79852,1
31,95700,1
42,52294,1
28,61164,1
30,149376,0
32,95540,1
60,140599,0
35,110923,0
64,77718,1
46,42941,1
60,42306,1
21,64932,1
60,77230,1
61,68960,0
51,87370,1
67,53002,0
33,78113,1
42,99541,1
51,72968,0
35,78586,0
73,98377,0
75,44275,0
60,140858,1
47,79580,1
67,116704,0
37,84654,1
21,97139,0
33,38056,0
21,102889,0
75,93031,0
62,38336,0
28,146168,1
60,103634,1
61,136782,1
21,132136,0
25,64919,1
34,36615,0
61,139277,1
75,65570,0
37,58414,0
44,128435,1
71,70617,1
73,140842,0
72,50136,0
24,30271,0
54,38982,0
32,74160,0
25,135982,0
28,42003,0
47,99069,1
55,48402,0
27,145874,1
35,59256,1
55,130472,0
77,109943,0
41,106660,0
66,61118,1
31,118617,1
35,96188,1
26,54427,1
66,145179,0
43,51968,1
30,81026,0
32,42822,0
61,142665,1
73,80620,0
33,111936,1
58,73598,1
56,140937,0
32,145256,0
69,32826,1
67,145683,0
78,125317,0
65,122178,0
27,108134,1
37,37682,0
28,76875,0
56,98896,0
80,148851,0
74,90310,0
67,121514,0
48,131228,0
32,124881,1
36,129712,1
71,88791,0
76,86993,1
64,83476,0
26,143454,0
41,52219,1
29,45937,1
65,93112,1
40,149608,1
67,148068,1
49,149276,0
24,68481,1
71,113784,0
58,67465,1
80,31127,0
63,31433,1
42,123121,0
72,123165,1
80,67100,1
43,116415,1
72,54407,0
49,136161,1
39,47740,1
50,127747,0
44,56524,1
26,85231,0
67,102211,0
41,62685,1
65,101596,1
56,113366,0
29,134880,1
40,58796,1
33,126511,0
53,81528,1
73,39130,1
19,92401,1
43,39713,1
23,93028,0
74,37848,0
21,84275,1
51,92598,1
28,80287,0
52,88841,0
63,94451,1
64,101180,0
76,100095,0
63,49550,0
41,30031,0
45,97311,0
79,37200,0
78,52462,0
55,120399,1
27,135336,1
59,56962,0
64,128703,1
39,79456,1
76,48175,1
50,72341,1
39,116104,0
76,44984,1
65,113283,1
41,62600,0
30,114736,1
32,89040,1
56,54097,1
77,139099,1
34,89079,1
52,47138,1
20,91030,1
30,51182,1
22,52233,1
32,124411,0
20,110757,0
26,44418,0
62,64434,1
73,116922,0
38,110856,0
74,117348,0
49,68142,0
49,145610,1
27,134998,1
43,40386,0
31,126328,0
80,66628,1
76,146766,0
69,55370,1
57,123043,1
56,135949,0
60,119178,0
31,56331,0
18,63104,1
74,50258,1
46,44881,1
49,132966,0
35,117930,1
38,140925,1
76,139255,1
39,149799,0
68,93716,0
